"start_speed","pfx_x","pfx_z","x0","z0"
75.2,10.6,-8.12,-1.65,6.6
93.4,-2.63,12.07,-1.48,6.18
75.4,6.25,-8.23,-1.52,6.61
88,4.25,2.15,-1.24,6.55
89,3.75,5.05,-1.24,6.26
91.3,-1.44,11.83,-1.39,6.23
87.1,3.39,6.21,-1.49,6.27
88.8,1.47,4.83,-1.33,6.2
92.8,-6.02,8.69,-1.34,6.04
92.9,-7.24,8.55,-1.53,5.98
86.7,4.11,2.28,-1.28,6.54
77,10.44,-5.39,-1.42,6.38
93.6,-8.49,7.87,-0.73,5.71
93.2,-7.31,14.36,-0.86,5.49
94.3,-6.54,12.11,-0.96,5.58
87.1,-4.73,5.76,-0.9,5.53
85.9,-1.03,2.55,-0.92,5.64
86.7,-0.64,2.77,-0.93,5.66
93.7,-9.52,9.68,-0.67,5.35
93.2,-7.51,8.58,-1.04,5.67
92.5,-9.52,7.71,-1.1,5.73
93.2,-7.71,6.65,-0.92,5.64
86.4,-1.91,2,-0.94,5.61
83.6,7.41,-1.06,-1.07,6.37
97.9,-4.51,10.62,-1.03,6.14
84.7,5.64,-1.5,-1.21,6.27
98.5,-3.69,9.03,-1.06,6.2
98.2,-3.81,11.05,-0.81,6.23
99.2,-4.14,10.68,-0.74,6.21
84.5,5.37,-3.66,-1.11,6.31
84.1,6.53,-3.19,-1.24,6.31
86.2,7.49,-1.8,-0.97,6.03
100.7,-1.46,8.5,-0.76,6.33
98.7,-3.04,10.33,-0.76,6.28
98.6,-1.78,11.97,-0.72,6.33
87.8,5.49,-6.48,-0.94,6.41
84,9.55,-1.73,-1.33,6.16
99.4,-3.45,10.7,-0.98,6.15
100.2,-3.11,10.67,-0.81,6.29
87.9,6.65,-8.88,-1.18,6.46
95,-6.04,6.07,-2.66,4.88
85.4,-6.35,-3.55,-2.49,4.51
86,-7.29,-1.5,-2.28,4.41
86.2,-8,-0.86,-2.4,4.37
87.1,-8.2,-4.99,-2.39,4.39
94.7,-3.84,7.1,-2.24,4.89
87.8,-9.94,-1.79,-2.1,4.33
83.6,-8.98,-1.56,-2.19,4.42
92.1,-3.31,4.5,-2.3,4.73
92.7,-3.9,6.11,-2.35,4.68
94,-5.87,5.44,-2.27,4.61
85.7,1.94,4.46,1.55,6.4
71.6,-3.4,-8.99,1.62,6.63
70.9,-3.19,-10.12,1.68,6.65
87.1,4.13,10.09,1.34,6.45
87.8,4.63,11.94,1.36,6.37
79.4,9.36,7.78,1.6,6.22
81.1,11.28,7.37,1.76,6.32
74.8,-4.95,-5.89,1.71,6.54
89,1.19,9.52,1.46,6.44
88.7,1.18,6.9,1.52,6.54
86.4,-0.79,3.25,1.5,6.32
85.4,-1.29,1.62,1.59,6.38
85.7,0.93,2.56,1.71,6.12
85.1,-1.64,-0.99,1.7,6.41
91.5,3.54,10.3,1.29,6.34
87.6,-3.57,3.65,1.67,6.33
89.5,1.08,6.89,1.56,6.25
88.4,-0.87,4.29,1.43,6.19
88.4,-0.68,3.26,1.5,6.29
89.1,-2.3,2.89,1.7,6.24
72.7,-3.45,-6.57,1.77,6.67
70.5,-4.33,-7.52,1.93,6.81
85.3,1.86,4.3,1.5,6.35
81.3,10.34,8.44,1.65,6.21
81.6,10.97,7.1,1.78,6.22
90.2,5.37,10.69,1.31,6.31
86.6,0.38,4.77,1.41,6.31
72.9,-4.85,-8.71,1.8,6.5
90.9,9.17,7.43,1.53,6.17
87,-0.86,3.97,1.63,6.19
89.3,4.5,11.39,1.7,6.28
87.4,0.29,6.22,1.64,6.31
86.2,-0.4,1.78,1.67,6.16
90.3,5.75,5.93,1.62,6.4
72.6,-3.52,-7.22,1.92,6.49
81.4,10.38,9.51,1.57,6.29
88.8,5.64,10.51,1.55,6.46
90.1,5.97,11.15,1.29,6.23
92,0.79,10.41,1.45,6.32
89,-0.77,5.3,1.46,6.29
93.3,7.23,6.42,1.46,6.13
73.1,-2.73,-7.22,1.75,6.64
85.4,-2.48,5.82,1.43,6.47
85.2,-0.43,2.97,1.51,6.41
90,11.64,8.82,1.42,6.38
89.8,9.19,8.85,1.38,6.38
87.2,3.69,11.58,1.47,6.4
88.1,2.94,11.75,1.49,6.49
87,3.07,6.21,1.44,6.32
82.5,10.96,6.4,1.77,6.38
87.6,1.51,6.31,1.49,6.45
73.6,-3.17,-8.85,1.57,6.59
87.2,1.49,1.5,1.51,6.39
85.3,-0.2,2.29,1.54,6.17
86.8,-2.65,2.42,1.36,6.31
86.2,-0.96,2.95,1.63,6.37
87.5,-3.31,6.18,1.53,6.14
81.9,10.22,5.72,1.77,6.21
84.6,3.1,8.91,1.36,6.62
89.2,3.18,10.68,1.46,6.46
85.6,0.59,5.66,1.45,6.17
87.9,-2.05,5.98,1.46,6.31
87.5,-0.26,3.37,1.51,6.43
87.3,-0.02,4.82,1.44,6.26
88.5,-0.43,4.79,1.41,6.31
88.2,-0.3,6.09,1.6,6.28
89.3,5.3,11.1,1.44,6.37
88.3,2.48,7.1,1.33,6.32
87.4,2.21,4.5,1.58,6.26
72.5,-5.26,-9.36,2.01,6.77
87.7,-2.27,4.6,1.61,6.32
89.5,3.34,9.07,1.59,6.44
86.9,-0.02,3.01,1.74,6.22
86.4,9.9,9.65,1.3,6.4
86.8,4.43,11.51,1.43,6.47
87.9,5.67,11.26,1.28,6.44
88,0.69,12.34,1.47,6.31
89.3,2.59,11,1.32,6.36
89,2.92,9.32,1.46,6.51
73.6,-5.65,-8.09,1.74,6.6
72.9,-4.81,-9.37,2.1,6.55
82.4,10.24,6.6,1.83,6.04
83.1,9.84,4.9,1.54,6.12
90,2.51,7.75,1.57,6.33
88.1,-1.64,5.57,1.61,6.41
91.8,9.23,9.15,1.43,6.17
87.3,1.47,4.11,1.44,6.23
90.1,2.87,13.03,1.24,6.23
89.5,4.56,13.93,1.51,6.28
85.5,-3.7,3.06,1.74,6.37
86.7,-3.04,4.8,1.53,6.44
89.2,9.95,9.06,1.55,6.38
86.5,1.24,6.07,1.66,6.3
80.3,10.71,5.51,1.94,6.32
87.8,0.73,5.41,1.72,6.22
90.2,2.78,9.55,1.37,6.45
74.4,-5.01,-8.14,1.95,6.46
88.2,-1.5,5.79,1.53,6.28
74.3,-6.22,-8.37,1.74,6.56
75,-2.68,-8.42,1.71,6.39
80.7,12.37,7.09,2.06,6.25
83,13.06,4.4,1.68,6.2
90.4,2.21,9.4,1.61,6.28
86.7,-1.87,4.81,1.76,6.32
88,-0.07,3.51,1.44,6.33
88.5,4.18,10.31,1.38,6.39
84.9,-2.9,5.27,1.55,6.43
85.8,2.22,0.64,1.42,6.32
90.6,6.63,7.35,1.29,6.24
91.1,4.95,10.74,1.14,6.34
83.7,-4.65,6.39,1,6.85
82.8,-4.65,-1.03,0.91,6.53
91.8,0.48,13.48,0.95,6.75
91.4,1.4,11.76,1.04,6.71
90.9,2.35,12.51,0.97,6.71
90.5,1.99,11.64,1.2,6.68
83.6,-5.57,3.88,0.72,6.85
82,-6.32,1.94,0.93,6.7
91.4,0.87,11.39,1.23,6.57
81.9,-4.92,2.12,0.95,6.67
83,-6.02,4.21,0.94,6.62
92.4,-8.1,11.39,-0.95,5.95
78.9,-7.6,10.71,-1.11,6.45
81.9,-0.2,5.18,-0.99,6.16
91.8,-3.82,14.2,-0.5,6.19
91.2,-4.68,12.54,-0.37,6.37
79.2,-9.61,11.17,-0.99,6.22
78.1,-7.03,9.98,-1.03,6.56
91.9,-6,8.11,-0.68,6.54
91.1,-2.52,12.71,-0.65,6.12
89.3,9.63,3.26,2.67,6.2
88.4,9.53,1.6,2.76,5.99
87.4,11,1.18,2.7,6.11
87.3,2.79,4.46,2.68,5.85
87.5,13.2,1.94,2.7,5.95
85.6,1.72,1.75,2.56,6.11
89.1,9.88,1.54,2.84,6.14
82.3,-1,-0.51,2.68,6.21
80.4,-0.76,-2.58,2.6,6.11
88.2,11.12,0.25,2.61,5.85
87.9,13.49,2.52,2.84,5.98
88.6,12.31,3.68,2.73,5.95
88.1,9.88,3.05,2.58,5.97
87.2,12.23,1.51,2.78,6.12
92.7,-4.3,10.48,-2.52,5.83
84.9,3.13,-0.37,-2.94,5.91
83.5,5.75,-2.48,-3.17,6.13
93,-3.24,9.25,-2.75,5.82
92,-1.9,6.78,-2.63,5.77
82.8,4.3,-0.42,-3.12,6.06
93.8,-7.36,9.43,-2.78,5.79
93.2,-5.49,12.65,-2.74,5.52
93.6,-3.42,9.78,-2.9,5.84
86.6,-10.74,1.36,-2.88,5.77
94.1,-3.54,9.44,-2.96,5.84
93.1,-3.03,7.91,-3.17,6.07
84.8,4.51,0.84,-2.96,5.91
94.9,-4,11.7,-2.87,5.82
93.6,-5.31,10.41,-2.84,5.86
94.5,-6.45,10.53,-3.08,5.84
94.1,-2.75,7.24,-3.1,5.96
95.2,-5.78,10.34,-2.84,5.7
85.9,5.17,0.11,-3,6.01
85.7,4.27,-1.26,-3.01,6.01
85,5.04,-0.34,-2.9,5.99
85.4,3.11,0.64,-3.12,5.97
93.2,-3.67,5.4,-3.16,5.93
86.6,-11.02,-1.22,-3.06,5.66
94.2,-5.33,10.12,-2.65,5.84
76,-2.28,-2.02,4.45,4.17
74.5,-2.29,-2.7,4.49,4.12
75.6,-4.41,-3.04,4.41,4.04
91,9.58,8.16,2.406,6.43
82.8,1.33,1.42,2.307,6.187
90.9,8.59,7.42,2.283,6.23
91.2,9.59,7,2.443,6.363
91.2,9.05,4.63,2.406,6.303
91.2,9.82,6.66,2.254,6.353
90.6,8.58,10.06,2.296,6.444
91.4,9.99,6.65,2.594,6.379
81.4,10.69,4.02,2.44,6.296
90.9,8.78,5.92,2.596,6.481
90.8,9.26,5.95,2.548,6.43
81.9,10.77,4.54,2.521,6.17
92.1,9.73,7.14,2.225,6.177
90.8,9.31,5.78,2.569,6.266
81.8,9.56,4.29,2.49,6.255
91.3,8.84,6.3,2.408,6.261
91.2,9.66,6.89,2.454,6.24
90.6,10.93,6.31,2.228,6.319
90.8,7.6,9.02,2.428,6.334
90.4,7.57,8.15,2.474,6.368
90.5,7.7,7.09,2.28,6.389
91.6,9.64,7.72,2.382,6.224
90.9,8.5,6.39,2.414,6.327
82.7,1.55,1.01,2.363,6.282
90.5,8.62,7.14,2.57,6.421
90.9,10.4,5.97,2.311,6.142
90.2,7.37,7.95,2.587,6.316
90.8,9.73,5.34,2.375,6.294
76,-3.29,-4.02,2.523,6.816
92,10.41,6.18,2.208,6.349
89.1,8.45,5.45,2.2,6.409
79.3,0.68,0.27,2.466,6.504
81.2,11.68,4.78,2.463,6.215
90.4,9.97,6.62,2.691,6.24
90.7,8.96,6.33,2.563,6.36
82.2,10.57,2.99,2.422,6.34
91,8.52,5.57,2.643,6.298
80.8,9.66,4.25,2.576,6.472
77.1,-0.51,-5.3,2.624,6.65
91.4,7.97,4.55,2.266,6.408
76.1,-1.54,-6.89,2.28,6.808
81.1,11.2,5.22,2.311,6.489
76.3,-3.6,-7.07,2.545,6.847
92,9.67,8.45,2.421,6.293
91.3,7.56,4.42,2.39,6.737
91.1,9.42,6.38,2.337,6.223
91.4,10.14,7.07,2.15,6.161
89.8,8.4,6.05,2.315,6.419
90,10.83,5.7,2.306,6.375
90.3,8.76,6.37,2.752,6.291
90.3,9.68,6.84,2.593,6.246
91.2,7.89,5.91,2.62,6.302
90.1,9.57,5.83,2.642,6.39
91.3,9.28,7.21,2.531,6.425
80.7,0.25,1.25,2.573,6.567
78.5,-2,-4.64,2.239,6.572
91.7,9.15,6.47,2.4,6.404
91.5,9.22,6.1,2.357,6.228
81.3,10.95,5.47,2.356,6.46
91.1,7.22,9.78,2.407,6.273
83.7,1.98,1.17,2.527,6.26
91.3,9.05,7.8,2.335,6.335
91.9,12.51,5.83,2.446,6.327
92.4,9.89,5.89,2.701,6.245
91.8,6.81,9.53,2.472,6.265
91.7,8.03,7.67,2.325,6.316
91.8,10.73,5.5,2.386,6.422
90.9,8.12,5.3,2.478,6.524
90.2,9.66,6.35,2.441,6.339
91.2,9.79,6.26,2.533,6.337
90.5,9.3,8.14,2.565,6.34
81.4,12.5,4.5,2.447,6.226
91.6,6.7,3.03,2.446,6.338
91.7,10.93,6.51,2.439,6.298
82.5,0.63,-0.16,2.673,6.478
90.2,10.28,6.72,2.497,6.278
80.3,10.34,2.5,2.428,6.317
91,7.91,6.41,2.534,6.331
90.4,12.48,6.14,2.271,6.441
82.6,2.08,0.83,2.22,6.308
91.3,11.4,7.13,2.314,6.358
92.1,9.4,7.16,2.411,6.262
90.2,9.61,6.12,2.27,6.344
80,9.4,3,2.349,6.416
90,8.21,4.51,2.355,6.451
89.5,9.9,5.61,2.347,6.35
89.4,8.98,6.22,2.401,6.455
90.5,8.6,5.55,2.352,6.308
81.3,11.04,3.03,2.394,6.313
80.8,-1.55,-0.23,2.465,6.481
77.9,-0.77,-4.2,2.445,6.545
81.4,2.56,0.93,2.418,6.246
90.4,11.57,7.59,2.345,6.361
83,-0.25,0.88,2.427,6.454
89.9,8.31,5.91,2.459,6.49
91.1,8.8,7.48,2.458,6.246
76,-0.61,-5.35,2.511,6.753
91.7,11.11,7.07,2.507,6.34
91.6,9.78,4.78,2.563,6.408
78.6,6.07,2.92,-2.811,4.904
80.5,-8.07,-0.91,-2.455,5.151
78.2,4.81,2.36,-2.628,4.993
78.1,6.36,1.74,-2.701,4.95
76.1,7.6,3.64,-2.424,5.119
86.4,-10.15,1.44,-2.249,5.131
86.6,-9.34,-0.93,-2.508,5.01
75.9,10.74,1.39,-2.497,5.041
87.1,-7.87,4.51,-2.185,5.181
77.1,6.18,1.06,-2.468,5.04
78.6,4.67,3.45,-2.129,5.198
92.8,4.56,12.34,1.253,6.22
92.8,0.85,10.39,1.065,6.361
90.1,-2.49,5.76,1.016,6.212
92.4,-1.18,12.38,1.136,6.263
73.5,-1.37,-11.02,0.668,6.76
92.3,1.63,12.76,1.317,6.244
89.7,1.12,7.53,1.363,6.425
87.9,0.4,7.79,1.049,6.44
88.6,-1.79,5.58,1.017,6.375
89.4,-2.68,6.04,0.877,6.121
71.9,1.35,-11.77,0.678,7.038
87.7,-0.5,4.27,0.988,6.434
87.3,-1.65,-0.69,0.975,6.555
87.7,-2.04,4.03,1.006,6.479
94.9,7.75,8.29,2.53,5.866
73.8,0.06,-9.64,0.893,6.658
93.1,2.18,11.96,1.361,6.187
92.8,3.11,13.34,1.112,6.345
73.6,-0.87,-10.88,0.947,6.631
92.2,1.17,10.04,0.938,6.273
92.2,0.97,12.44,0.996,6.266
94.9,7.81,9.44,2.416,5.791
91.1,2.4,13.84,1.589,6.272
88.1,-1.46,6.69,1.502,6.482
92.1,1.66,13.53,1.36,6.338
92.5,0.82,13.22,1.467,6.218
73.4,0.45,-12.16,0.977,6.549
87.9,-0.34,5.98,1.261,6.381
73.3,-0.53,-11.89,0.819,6.737
93.2,3.64,13.36,1.327,6.2
93,4.54,10.79,1.23,6.153
90.9,2.16,11.89,1.437,6.291
91.4,1.75,12.58,1.365,6.246
92,1.58,13.13,1.411,6.268
87.5,-0.3,6.84,1.348,6.309
92.3,1.27,12.24,1.295,6.344
91.6,1.57,9.98,1.201,6.276
94.9,6.52,8.25,2.77,5.781
92.1,2.39,10.55,1.446,6.329
90.2,-2.54,6.49,1.349,6.428
92.1,1.64,12.27,1.271,6.223
93.3,0.55,12.62,1.093,6.257
88.9,-2.14,8.9,0.966,6.251
87.6,-1.2,5.04,1.023,6.301
91.7,2.48,12.99,1.291,5.927
92.4,1.87,11.23,1.363,6.1
87.3,-0.57,4.33,1.286,6.456
90.9,2.24,10.76,1.456,6.151
91.6,2.2,9.67,1.505,6.191
91.7,0.44,10.22,1.371,6.2
90.1,-2.36,9.81,1.387,6.31
88.8,2.27,8.77,1.365,6.34
91.6,3.59,12.17,1.095,6.22
92,2.07,12.78,1.422,6.194
89.1,-0.67,7.33,1.288,6.375
89.8,0.44,6.86,1.302,6.414
73.4,0.7,-10.36,1.072,6.578
91.3,1.61,11.75,1.271,6.244
87.9,-1.7,6.37,1.377,6.514
93.2,0.58,11.45,1.403,6.159
72.8,-2.16,-13.7,1.14,6.666
94.4,5.82,8.97,2.93,5.557
92.9,1.9,11.55,1.338,6.118
71.9,-2.3,-10.02,0.943,6.44
72.1,-1.4,-12.26,0.961,6.972
91.4,0.81,10.12,1.349,6.079
88.8,-1.75,5.14,1.069,6.395
92.7,2.28,11.61,1.247,6.234
93,2.29,12.85,0.99,6.394
92.9,1.25,13.07,1.399,6.243
93.5,3.11,13.05,1.152,6.32
72.7,0.65,-10.76,0.877,6.936
92.4,2.97,12.68,1.394,6.111
73.2,0.09,-9.78,0.998,6.601
93.1,1.3,14.2,1.408,6.185
94.6,8.45,8.8,3.019,5.468
94,1.48,11.4,1.331,6.347
74.1,0.03,-9.79,0.829,6.54
93.6,0.6,11.27,1.335,6.121
94,4.88,11.84,1.308,6.152
90.4,-1.39,7.27,1.359,6.295
92.6,3.18,13.18,1.271,6.333
93.6,2.36,10.55,-2.008,6.169
93.6,3.25,9.3,-1.884,6.167
94.6,2.41,8.61,-2.119,6.215
95.6,0.89,7.97,-1.948,6.342
96,1.17,9.74,-1.838,6.386
92.3,3.78,7.64,-2.255,6.247
92.6,4.03,6.4,-2.018,6.341
92.7,0.32,10.51,-2.247,6.209
92.5,2.03,9.34,-2.324,6.342
94.7,1.69,7.08,-2.176,6.493
83.8,2.8,-0.43,-2.086,6.172
93.7,3.14,8.8,-1.958,6.485
92.5,2.52,7.13,-2.09,6.261
92.6,2.86,8.26,-2.123,6.339
92.9,3.26,8.81,-2.045,6.27
93.5,1.69,9.94,-2.12,6.258
94.7,2.83,9.5,-1.945,6.41
95.2,0.65,10.29,-2.361,6.103
94.2,1.2,10.92,-2.401,6.191
93.8,0.1,11.22,-2.027,6.095
93.3,2.84,9.51,-2.3,6.131
93.4,2.16,10.84,-2.162,6.153
93.3,1.83,11.19,-2.219,6.296
92.1,1.28,9.6,-2.335,6.151
93.7,2.48,7.81,-2.051,6.399
92,-4.81,9.35,-2.477,6.028
92.3,-8.59,6.23,-2.45,5.937
92.2,-6.65,8.47,-2.639,5.862
90.4,-1.91,9.83,-2.308,6.189
84.6,-9.04,3.01,-2.867,5.912
77.4,6.62,-7.34,-2.976,6.027
84.7,0.78,4.8,-2.818,6.012
89.8,-4.77,8.24,-2.553,6.021
76.1,8.11,-6.95,-3.193,6.225
85.9,2.06,4.06,-2.667,5.973
92.4,-9.2,8.47,-2.306,5.982
91.4,-10.08,7.21,-2.786,5.949
87.1,0.7,4.24,-2.723,5.907
92.5,-7.5,6.96,-2.61,5.749
91.4,-8.03,9.44,-2.389,6.109
85.5,0.04,2.09,-2.712,6.072
91.2,-12.53,8.16,-2.419,6.169
86.5,0.52,2.49,-2.829,5.793
93.6,-4.61,8.8,-2.5,5.904
93.6,-8.08,7.28,-2.397,5.935
85.4,2.86,-0.13,-2.773,6.102
91.8,-9.91,6.74,-2.678,6.019
91.4,-9.25,6.2,-2.766,6.023
91.3,-2.64,9.25,-2.516,5.992
84.4,-11.8,2.6,-2.92,6.189
92.4,-8.48,8.74,-2.793,5.878
77.5,5.95,-8.7,-2.96,6.101
91.6,-11.07,6.11,-2.728,6.236
86.1,0.11,2.88,-2.695,5.986
91.5,-11.06,6.31,-2.861,5.892
90.3,-8.75,4.92,-2.889,5.887
84.9,-7.86,4.9,-2.992,5.741
91,-8.51,10.21,-2.701,6.18
92.3,-7.92,7.78,-2.4,5.973
84.7,-10.32,2.92,-3.008,5.853
83.5,-9.99,4.02,-2.787,6.063
92.6,-12.19,6.75,-2.592,5.979
92.1,-6.34,6.88,-2.365,6.088
92.8,-4.24,9.91,-2.271,6.112
85.9,1.75,2.22,-2.261,5.866
92.9,-1.84,10.39,-2.303,6.178
76.7,6.12,-7.75,-2.667,6.146
92.2,-6.18,8.7,-2.36,6.08
92.9,-7.28,8.56,-2.315,6.158
92.6,-6.91,9.04,-2.325,6.065
91.3,-6.13,8.5,-2.286,6.329
92.8,-7.74,5.74,-2.405,6.161
94.3,-1.97,9.05,-2.36,6.008
77.1,9.24,-2.8,-2.771,5.977
93.8,-3.25,10.03,-2.225,6.058
93.5,-8.35,6.46,-2.627,5.961
84.4,-8.21,6.27,-2.771,5.876
86.5,2.3,2.63,-2.656,5.878
87.5,0.36,4.67,-2.546,5.903
90.4,-7.68,7.75,-2.234,6.28
91.7,-6.36,7.85,-2.693,5.859
77,8.25,-9.37,-3.097,6.324
84.5,-6.59,4.05,-2.955,6.055
91.1,-3.66,9.72,-2.703,6.071
91.3,-2.91,11.33,-2.625,6.106
91.9,-9.39,5.7,-2.521,6.033
92.6,-12.69,7.24,-2.542,5.889
93.2,-5.06,10,-2.342,5.934
85.7,1.09,3,-2.854,6.028
92.1,-6.31,7.14,-2.551,5.956
91.1,-4.07,10.67,-2.496,6.095
93.1,-8.42,7.72,-2.382,5.93
93.1,-3.08,11.55,-2.366,5.917
85.6,1.21,1.18,-2.708,6.001
91.3,-2.53,7.83,-2.406,5.992
84.2,-9.34,7.12,-2.807,5.918
86.6,0.1,2.58,-2.554,5.908
85.1,0.2,0.87,-2.783,5.983
93.8,-3.8,8.87,-2.371,5.812
77.6,6.82,-7.88,-2.974,6.096
85.6,-8.38,7.48,-2.75,5.534
93.4,-8.2,6.99,-2.281,5.844
91.4,-6.07,9.65,-2.471,6.042
76.6,7.83,-6.87,-2.771,6.065
76.8,6.65,-8.08,-2.966,6.026
91.7,-8.29,5.06,-2.874,5.888
84.9,-9.81,7,-3.1,5.91
85.3,0.71,1.8,-2.63,6.07
92.2,-3.9,8.78,-2.411,5.954
92.5,-6.82,8.28,-2.588,6.02
92.3,-7.61,11.06,-2.148,5.994
85.9,0.41,3.26,-2.777,5.726
64.9,-3.29,5.35,-3.302,7.084
67.1,-3.98,6.26,-3.21,6.954
77.4,3.49,-7.59,-3.104,5.893
85.6,1.94,3.66,-2.641,6.171
92.2,-9.44,6.3,-2.474,6.181
91.4,-2.29,10.31,-2.363,6.257
84.3,-9.2,2.83,-2.989,5.705
78,8.25,-5.25,-2.963,5.95
93.1,-8.45,8.61,-2.53,5.985
87.1,0.28,3.81,-2.694,6.009
93.6,-5.55,10.17,-2.3,5.899
91.9,-7.16,6.12,-2.656,5.946
92.4,-8.17,7.43,-2.302,6.028
91.4,-8.55,7.79,-2.538,5.904
92.3,-4.33,9.24,-2.412,5.979
91.5,-8.01,7.55,-2.889,5.926
90.8,-4.66,11.77,-2.467,6.315
84.6,-9.81,6.02,-2.752,5.812
84,-8.93,4.37,-2.996,6.05
91.7,-7.05,6.63,-2.765,5.988
85.9,3.12,1.68,-2.794,6.123
91.5,-7.35,7.45,-2.54,5.942
93.8,-2.31,8.75,-1.247,5.699
83,3.8,0.63,-1.262,5.886
92.4,-1.48,8.8,-1.044,5.802
91.4,-1.3,5.97,-1.35,5.537
83.6,3.12,-0.33,-1.198,5.685
92.4,-2.29,8.1,-1.076,5.756
93.1,-2.97,9.89,-0.959,5.734
84.7,4.49,1.1,-0.957,5.842
82.8,4.89,0.73,-1.066,5.902
82.6,4.34,2.43,-1.186,5.953
82.3,3.51,0.11,-0.878,5.83
83,3.46,-0.52,-0.952,5.669
83.3,6.82,1.92,-0.815,6.055
92.6,-1.71,10.05,-1.042,5.642
84.6,2.33,0.52,-1.019,5.771
83.6,3.38,0.63,-1.066,5.758
93.2,-3.2,7.7,-1.192,5.775
92.3,-1.34,7.71,-1.211,5.599
92.8,-1.71,9.82,-1.066,5.902
93.8,-3.72,10.31,-1.1,5.611
91.1,10.8,3.55,1.356,5.738
91.5,9.94,4.52,1.378,5.785
83.9,-0.83,-1.31,1.271,5.64
84.7,-1.07,-0.91,1.597,5.663
84.1,1.44,-2.41,1.56,5.436
89.7,11.96,2.71,1.511,5.742
81.6,-2.18,-2.39,1.985,5.895
91.2,11,3.23,1.315,5.843
83.5,-1.65,-2.18,1.568,5.653
91.6,12.36,4.03,1.447,5.768
91.6,10.41,4.72,1.349,5.769
91.7,10.55,4.78,1.464,5.958
82.1,-3.27,-2.51,1.671,5.695
89.8,10.21,7.34,1.737,5.916
76.1,-3,-6.33,1.453,6.103
83.5,8.99,6.39,1.627,5.775
85.8,-0.72,4.53,1.805,5.822
84.2,8.17,5.53,1.588,5.776
83.2,7.45,5.07,1.568,5.87
74.4,-3.61,-4.41,1.659,6.299
83.6,8.28,5.42,1.679,5.871
84.3,-2.15,3.2,1.646,5.698
84.2,-1.12,2.56,1.714,5.941
84.4,5.13,8.31,1.614,6.001
84.9,-0.44,5.01,1.735,5.834
74.1,-2.63,-4.17,1.478,6.208
76.1,-6.78,-4.25,1.631,6.155
91.3,4.53,12.09,1.606,5.984
84.6,8.4,6.88,1.329,5.823
90.3,10.35,8.48,1.597,5.85
84.3,-3.16,4.89,1.647,5.973
91,7,9.85,1.71,5.968
85.8,10.12,5.41,1.7,5.897
84.7,-1.78,2.41,1.661,5.989
90.1,7.27,9.74,1.739,5.915
89.2,7.08,9.04,1.45,5.968
83.3,9.06,5.36,1.612,5.882
89.9,7.67,10.67,1.49,6.035
84.2,2.16,4.82,1.479,5.842
90.7,8.11,9.59,1.692,5.858
90.2,6.56,8.21,1.467,5.961
90.8,5.11,12.36,1.709,5.901
90,6.76,12.24,1.705,5.869
74.7,-6.24,-5.08,1.578,6.157
90.6,7.39,10.54,1.484,5.903
91.2,5.84,8.82,1.425,5.815
91.8,7.29,9.89,1.548,5.827
91.9,7.05,9.84,1.349,5.838
90.7,5.06,9.8,1.55,5.906
91.5,6.13,9.43,1.471,5.945
91.6,6.17,10.51,1.556,5.954
84.6,9.81,7.11,1.505,5.88
89.6,9.3,8.28,1.53,5.911
90.8,5.48,11.19,1.492,5.987
74.9,-7.49,-7.54,1.538,6.411
91.7,4.66,11.35,1.674,5.984
90.8,6.47,9.96,1.662,5.998
91.7,7.66,8.15,1.659,5.758
90,11.6,5.91,1.554,5.83
89.5,10.5,7.15,1.522,5.978
89.2,8.46,11.15,1.926,6.033
88.2,10.83,6.16,1.807,5.818
89.2,7.67,8.5,1.663,5.76
73.4,-6.46,-7.43,1.615,6.149
84,-0.93,4.24,1.568,5.986
89.4,11.44,8.1,1.609,5.917
90.5,5.22,10.34,1.671,5.819
84,7.57,4.89,1.511,5.796
73.7,-6.22,-6.46,1.537,6.102
89.7,9.57,7.92,1.72,5.759
83.6,9.91,4.69,1.632,5.822
88.8,10.68,4.77,1.747,5.972
83.7,-3.93,3.27,1.679,6.052
84.2,-2.95,4.57,1.517,5.816
92.1,5.66,10.84,1.678,6.031
91.5,6.88,9.52,1.446,6.016
84.8,-1.88,5.32,1.653,5.994
90.6,5.89,9.5,1.454,5.878
90.3,8.1,6.04,1.536,5.834
89.8,4.78,10.24,1.563,5.839
86.6,0.73,4.84,1.72,5.824
91.3,9.95,9.93,1.49,5.829
83.1,-3.39,3.32,1.59,5.955
84,-1.57,3.58,1.432,5.829
91.2,5.64,9.05,1.643,5.933
92.2,6.46,7.45,1.426,5.919
90.7,7.95,9.82,1.575,5.749
88.8,8.54,8.34,1.551,5.859
71.6,-7.06,-7.9,1.78,6.242
90.1,6.14,10.95,1.74,5.935
72.9,-4.81,-6.53,1.622,6.13
89.4,7.4,5.24,1.654,5.73
89.7,10.67,5.95,1.731,5.875
93.1,-10.07,9.71,-2.384,5.762
90.6,-1.29,7.8,-2.602,5.827
90.1,1.51,7.06,-2.62,5.945
93.5,-12.79,5.22,-2.136,5.84
76.9,-4.93,5.17,-3.239,6.529
78.5,-3.9,8.35,-3.101,6.506
78.4,-5.68,9.08,-3.226,6.611
77.2,-7.74,7.66,-3.308,6.503
94.5,-6.25,9.91,-2.169,5.958
93,-10.42,6.78,-2.566,5.827
94.2,-4.27,8.59,-2.324,5.755
92.6,-7.39,7.82,-2.473,5.852
