"start_speed","pfx_x","pfx_z","x0","z0"
81.2,-10.88,2.9,-1.364,5.507
83.7,-8.94,3.71,-1.616,5.633
91.6,-6.1,8.65,-1.025,5.947
90.5,-6.18,9.19,-0.934,5.904
84.1,-9.27,6,-1.628,5.677
83.5,-2.69,6.37,-1.621,5.772
87.6,-8.17,6.39,-1.433,5.636
90,-4.13,7.65,-1.424,5.827
89.2,-3.56,9.91,-1.192,5.755
84.8,-9.09,5.09,-1.638,5.716
88.3,-5.67,7.75,-1.466,5.684
89,-5.71,9.22,-1.322,5.756
88.9,-2.68,9.8,-1.295,5.709
87.3,-9.31,6.94,-1.579,5.489
87.8,-9.6,5.35,-1.505,5.579
87.7,-9.22,5.09,-1.579,5.58
90.1,-3.77,9.76,-1.571,5.617
87.1,-8.34,5.06,-1.364,5.527
85.7,-9.39,5.04,-1.67,5.76
86.7,-8.62,3.67,-1.633,5.637
87.5,-8.66,3.83,-1.636,5.697
86.9,-10.21,4.56,-1.327,5.626
86.1,-6.28,10.12,-1.494,5.54
86.1,-6.14,8.86,-1.54,5.571
87.1,-8.51,5.63,-1.361,5.516
87.7,-4.03,9.82,-1.496,5.677
86,-9.72,3.52,-1.379,5.606
86.8,-8.85,3.82,-1.268,5.551
87.3,-10.67,4.72,-1.453,5.522
84.1,-8.16,5.55,-1.625,5.654
90.9,-4.25,10.86,-0.953,5.906
88.1,-10.23,5.72,-1.439,5.462
85.2,-8.79,9.62,-1.525,5.728
85.8,-9.93,6.49,-1.394,5.725
86,-9.92,5.23,-1.279,5.526
87.1,-9.22,3.33,-1.141,5.536
84.4,-8.78,4.67,-1.469,5.766
89.6,-5.05,10.39,-1.168,5.655
87.8,-12.68,4.17,-1.59,5.599
85.3,-11.61,8.2,-1.623,5.668
83.3,-9.42,5.9,-1.522,5.807
83.6,-9.27,6.42,-1.648,5.62
84.8,-9.58,5.71,-1.683,5.472
86.8,-8.1,3.47,-1.645,5.737
85.8,-9.61,5.52,-1.241,5.675
89.2,-6,9.78,-1.196,5.788
86.5,-9.31,5.3,-1.406,5.591
88.9,-6.25,9.21,-1.138,5.676
89.7,-5.68,9.59,-1.151,5.706
87.3,-9.82,4.78,-1.474,5.41
87.3,-8.88,4.15,-1.524,5.397
86.5,-5.21,11.42,-1.279,5.721
88.1,-3.99,10.54,-1.453,5.519
86.5,-9.09,5.12,-1.507,5.677
86.5,-11.42,4.25,-1.237,5.569
86.4,-9.13,4.61,-1.524,5.682
82.8,-0.99,1.01,-1.177,5.859
92.1,-5.44,8.65,-1.126,5.608
83.2,0.23,-0.51,-1.208,5.842
91.8,-4.59,9.71,-0.967,5.894
91.9,-3.45,9.43,-1.014,5.763
89.6,-3.3,8.84,-1.083,5.653
92.9,-5.22,10.42,-0.836,5.778
93.3,-3.64,10.42,-0.79,5.693
87.2,-6.75,6.6,-0.719,6.081
85.1,-0.87,1.87,-0.953,5.692
92.1,-3.27,9.93,-0.809,5.9
87.8,-5.67,8.19,-0.644,5.875
92.4,-3.52,9.72,-1.178,5.533
91.7,-2.92,11.21,-1.138,5.706
86.6,-4.53,7.55,-0.956,5.764
92.4,-2.07,10.66,-1.134,5.598
87.5,-4.54,8.89,-0.876,5.662
92.1,-5.15,10.71,-1.098,5.62
94.1,-0.15,9.93,-2.498,5.709
93.4,-0.89,9.34,-2.16,5.711
94.6,-1.94,11.27,-2.312,5.513
92.3,0.03,7.98,-2.083,5.894
93,-1.14,10.08,-2.221,5.836
91.8,-0.62,8.41,-2.215,5.973
91.5,-0.38,10.18,-2.232,5.852
93,-2.8,9.92,-2.343,5.749
87.1,1.84,2.77,-2.279,5.843
93.5,-0.46,10.5,-2.26,5.839
87.9,2.04,2.94,-2.27,5.706
93.9,-2.68,9.2,-2.254,5.863
94.2,-2.45,9.97,-2.26,5.8
88.1,7.33,9.56,2.022,5.781
88.4,7.41,13.25,2.1,5.724
70,-9.23,-3.76,2.487,5.957
88.8,7.65,10.67,2.088,5.708
82.7,9.52,5.82,2.304,5.388
89.8,8.85,10.36,2.066,5.57
71.1,-10.03,-3.99,2.302,5.692
88.8,6.75,10.27,1.787,5.66
89.2,7.97,8.4,1.844,5.593
71.5,-7.77,-5.66,2.339,5.701
90.2,5.07,10.29,1.802,5.545
70.4,-8.32,-4.87,2.4,5.731
87.2,12.83,1.83,3.684,4.461
79.2,-4.48,-3.65,3.871,4.411
78.3,-3.86,0.12,3.958,4.39
86.9,12,0.87,4.034,4.468
87.2,11.37,1.86,3.686,4.499
77.5,-2.36,-1.71,4.044,4.673
77.8,-3.99,-2.18,3.806,4.527
96.7,-9,7.94,-2.247,5.265
85.7,1.85,4.05,-2.343,5.306
95.2,-8.53,9.55,-2.092,5.078
97.8,-8.97,8.61,-2.17,4.965
87.8,2.45,3.21,-2.359,5.212
85.2,1.52,-0.17,-2.241,5.421
86.7,-0.38,3.25,-2.305,5.071
97.5,-8.65,9.45,-2.089,5.226
87.7,-0.11,1.18,-2.174,5.303
96.5,-8.91,9.26,-2.403,5.065
97.1,-12.43,6.6,-1.302,6.201
96.7,-10.22,2.92,-1.492,6.318
97.7,-8.04,2.86,-1.547,6.169
97,-8.73,3.72,-1.54,6.285
86.5,1.27,-0.23,-1.793,6.424
96.6,-3.49,8.9,-1.637,6.302
98,-8.85,0.99,-1.769,6.227
88,0.21,-1.62,-1.669,6.244
98.5,-6.69,7.9,-1.712,6.172
